user_genome	is_ani_classification	class_tree_mapped	classification_rule
STP572.12604_R.bin.40	False	7	Rule 2
STP572.12604_R.bin.41	False	2	Rule 2
STP572.12604_R.bin.42	False	3	Rule 2
STP572.12604_R.bin.43	False	2	Rule 2
STP572.12604_R.bin.44	False	2	Rule 2
STP572.12604_R.bin.46	False	2	Rule 2
STP572.12604_R.bin.47	False	2	Rule 2
STP572.12604_R.bin.48	False	3	Rule 2
STP572.12604_R.bin.49	False	2	Rule 2
STP572.12604_R.bin.5	False	3	Rule 2
STP572.12604_R.bin.50	False	2	Rule 2
STP572.12604_R.bin.51	False	8	Rule 2
STP572.12604_R.bin.52	False	2	Rule 2
STP572.12604_R.bin.54	False	2	Rule 2
STP572.12604_R.bin.55	False	2	Rule 2
STP572.12604_R.bin.56	False	7	Rule 2
STP572.12604_R.bin.57	False	5	Rule 2
STP572.12604_R.bin.58	False	3	Rule 2
STP572.12604_R.bin.6	False	3	Rule 2
STP572.12604_R.bin.62	False	2	Rule 2
STP572.12604_R.bin.63	False	8	Rule 2
STP572.12604_R.bin.64	False	2	Rule 2
STP572.12604_R.bin.65	False	backbone	Rule 1
STP572.12604_R.bin.66	False	4	Rule 2
STP572.12604_R.bin.67	False	8	Rule 2
STP572.12604_R.bin.68	False	2	Rule 2
STP572.12604_R.bin.69	False	8	Rule 2
STP572.12604_R.bin.7	False	2	Rule 2
STP572.12604_R.bin.70	False	2	Rule 2
STP572.12604_R.bin.71	False	2	Rule 2
STP572.12604_R.bin.72	False	2	Rule 2
STP572.12604_R.bin.73	False	3	Rule 2
STP572.12604_R.bin.76	False	3	Rule 2
STP572.12604_R.bin.77	False	2	Rule 2
STP572.12604_R.bin.78	False	3	Rule 2
STP572.12604_R.bin.79	False	2	Rule 2
STP572.12604_R.bin.80	False	3	Rule 2
STP572.12604_R.bin.82	False	3	Rule 2
STP572.12604_R.bin.83	False	2	Rule 2
STP572.12604_R.bin.84	False	2	Rule 2
STP572.12604_R.bin.85	False	2	Rule 2
STP572.12604_R.bin.86	False	2	Rule 2
STP572.12604_R.bin.87	False	2	Rule 2
STP572.12604_R.bin.88	False	2	Rule 2
STP572.12604_R.bin.9	False	2	Rule 2
STP572.12604_R.bin.90	False	2	Rule 2
STP572.12604_R.bin.91	False	3	Rule 2
STP572.12604_R.bin.93	False	2	Rule 2
STP572.12604_R.bin.94	False	7	Rule 2
STP572.12604_R.bin.95	False	5	Rule 2
STP572.12604_R.bin.96	False	7	Rule 2
STP572.12604_R.bin.97	False	5	Rule 2
STP572.12604_R.bin.98	False	6	Rule 2
STP572.12604_R.bin.99	False	2	Rule 2
STP672.12605_R.bin.1	False	2	Rule 2
STP672.12605_R.bin.10	False	3	Rule 2
STP672.12605_R.bin.100	False	2	Rule 2
STP672.12605_R.bin.101	False	2	Rule 2
STP672.12605_R.bin.102	False	3	Rule 2
STP672.12605_R.bin.103	False	2	Rule 2
STP672.12605_R.bin.104	False	2	Rule 2
STP672.12605_R.bin.105	False	2	Rule 2
STP672.12605_R.bin.11	False	2	Rule 2
STP672.12605_R.bin.12	False	2	Rule 2
STP672.12605_R.bin.13	False	2	Rule 2
STP672.12605_R.bin.15	False	2	Rule 2
STP672.12605_R.bin.18	False	3	Rule 2
STP672.12605_R.bin.2	False	3	Rule 2
STP672.12605_R.bin.20	False	7	Rule 2
STP672.12605_R.bin.22	False	2	Rule 2
STP672.12605_R.bin.23	False	2	Rule 2
STP672.12605_R.bin.24	False	5	Rule 2
STP672.12605_R.bin.25	False	2	Rule 2
STP672.12605_R.bin.26	False	7	Rule 2
STP672.12605_R.bin.27	False	2	Rule 2
STP672.12605_R.bin.28	False	2	Rule 2
STP672.12605_R.bin.3	False	2	Rule 2
STP672.12605_R.bin.30	False	2	Rule 2
STP672.12605_R.bin.31	False	2	Rule 2
STP672.12605_R.bin.32	False	2	Rule 2
STP672.12605_R.bin.33	False	2	Rule 2
STP672.12605_R.bin.35	False	5	Rule 2
STP672.12605_R.bin.37	False	2	Rule 2
STP672.12605_R.bin.38	False	7	Rule 2
STP672.12605_R.bin.4	False	2	Rule 2
STP672.12605_R.bin.40	False	2	Rule 2
STP672.12605_R.bin.41	False	7	Rule 2
STP672.12605_R.bin.42	False	2	Rule 2
STP672.12605_R.bin.43	False	2	Rule 2
STP672.12605_R.bin.44	False	2	Rule 2
STP672.12605_R.bin.45	False	2	Rule 2
STP672.12605_R.bin.47	False	7	Rule 2
STP672.12605_R.bin.49	False	2	Rule 2
